JPM EM 통화지수(LEMB),Dollar Index(TW)
-2.059420932,0.412376031
-1.675390696,0.653094766
-1.268770447,0.553643343
-0.987422092,0.596956206
-0.45347631,0.830084275
-0.624955052,0.680350591
-0.819023807,0.635182955
-0.730717389,0.890018363
-0.754334222,1.315814147
-0.601338219,1.357819602
-0.054043793,1.577309985
0.053772183,2.10679065
0.208821823,2.202301743
0.350522819,2.036939645
0.373112833,1.778538718
-0.285078025,1.032032606
-0.547943641,0.336507601
-0.625981871,0.258851851
-0.746119672,0.204974517
-0.433966753,0.095338228
0.436775599,0.297227206
0.331013262,-0.014512449
0.249894576,-0.427138964
-0.095116545,-0.784472689
-0.213200708,-1.086106412
0.35873737,-1.129370794
0.585664327,-0.803240203
0.793081727,0.152723425
0.967640925,0.385416153
1.020008684,0.372562958
1.399931644,0.686349378
1.653555891,0.584433757
1.772666873,0.083233958
1.68025318,0.020476281
1.94825289,0.160586581
1.875348754,0.408537959
0.672943926,0.535624383
0.536377024,0.321983579
0.301235516,0.174586074
0.371059195,-0.099183264
0.917326803,0.054574461
0.527135655,0.025342418
0.422400136,-0.133540401
0.191365903,-0.338090724
0.089710841,-0.22017978
0.357710551,0.003039888
0.808484009,0.01771445
1.148361036,0.183861416
1.293142488,0.306206555
1.480023512,0.469725212
1.284927938,0.242035936
1.024115959,-0.11765022
0.785893995,-0.589111911
0.590798421,-0.741062986
-0.05609743,-1.175462907
-0.129001566,-1.435832727
-0.301507126,-1.676245844
-0.830318814,-2.1591815
-0.426779021,-2.057828353
-0.404189007,-1.941835528
-0.725583295,-2.061240077
-0.924786145,-2.503010643
-1.512126505,-2.647206093
-2.020401817,-2.467824768
-1.612754749,-1.991115921
-1.710302536,-1.971870312
-2.012187266,-1.687900129
-2.353091112,-1.664886569
-2.036830918,-1.214679598
-1.328325938,-0.377821342
-0.766656048,-0.232524
-0.950456615,-0.60773859
-0.78205833,-0.537660705
-0.392894,-0.341794183
-0.087928813,0.165819256
-0.173154775,0.167113141
-0.118733378,-0.195528491
-0.840587002,-0.328068657
-0.985368455,-0.438174391
-0.737905121,-0.000779513
-0.313828952,0.113163923
-0.113599284,-0.216759398
0.136944506,-0.396998392
0.273511408,-0.112381451
0.49633109,0.213189172
0.613388435,0.652730781
0.872146775,0.674441787
1.147334217,0.995750486
0.836208117,0.844303356
0.647273456,1.216794068
0.857771312,1.537266496
1.430736209,1.921800532
1.554981285,1.787964866
1.547793553,1.669485322
1.506720801,1.534695876
0.588744783,0.944763664
0.070201284,0.401618021
0.037343082,0.076837149
-0.350794429,-0.256458925
-0.759468316,-0.487469291
-0.36722353,-0.253088967
-0.247085729,-0.431407516
-0.138242935,-0.489691693
0.331013262,-0.6405999
0.595932515,-0.765835881
0.439856056,-0.775568822
0.411105129,-0.79733893
0.096898573,-0.416282637
0.657541644,-0.015030945
1.167870593,0.079859433
0.696560759,-0.124774382
0.546645212,-0.119676151
0.800269459,0.101706554
0.585664327,0.352358413
0.722231229,0.464607792
0.945050911,0.278115511
0.811564465,0.037678661
-0.563345923,-0.606833048
-1.074701691,-0.956036271
-0.553077735,-0.664546263
0.109220398,-0.276855961
0.269404133,-0.174964895
0.364898282,0.44042358
0.414185585,0.573060038
0.372086014,0.571790756
0.811564465,0.813659185
1.311625227,1.06725416
1.390690275,1.034620894
1.377341631,1.1718918
0.779733082,1.609316038
0.814644922,2.040330044
1.010767315,2.16420297
1.063135074,1.688262687
0.834154479,1.307911074
0.796162183,0.986024716
0.831074023,0.88503793
0.477848352,0.693797269
0.171856346,0.267178096
-0.09922382,-0.241903319
-0.031453779,-0.184643582
0.121542224,-0.086055453
-0.836479727,-0.08518829
-1.071621235,-0.342279747
-1.599406104,-1.01175982
-1.691819797,-0.996265983
-2.102547322,-1.178315359
-1.780126215,-1.048890982
-2.048125925,-1.584237244
-2.446531624,-1.783700336
-2.064555026,-1.18981315
-1.534716519,-0.622130354
-1.243099976,-0.357220667
-1.232831788,-0.451640014
-1.216402687,-0.301845605
-0.933000695,0.056367913
